fore_name_simple	n_authors	genderize_sample_size	query_date	probability_male
anima	NA	815	2021-01-15	0.7
arfon	NA	20	2021-01-15	1
ashvini	NA	27	2021-01-15	0.89
beni	NA	5716	2021-01-15	0.9
birkar	NA	1	2021-01-15	1
cham	NA	527	2021-01-15	0.73
chikwe	NA	16	2021-01-15	0.81
denka	NA	183	2021-01-15	0.9
doyin	NA	215	2021-01-15	0.54
efimov	NA	11	2021-01-15	0.91
elisaldo	NA	2	2021-01-15	1
flacke	NA	1	2021-01-15	1
gates	NA	91	2021-01-15	0.91
gauhar	NA	186	2021-01-15	0.89
gingko	NA	15	2021-01-15	0.53
goddard	NA	10	2021-01-15	0.9
gottlieb	NA	55	2021-01-15	0.98
hayabusa	NA	161	2021-01-15	0.9
hayward	NA	24	2021-01-15	0.96
inalegwu	NA	15	2021-01-15	1
isidoros	NA	110	2021-01-15	0.99
jeanmarie	NA	446	2021-01-15	0.95
jwst	NA	2	2021-01-15	0.5
keturah	NA	19	2021-01-15	0.89
lauran	NA	109	2021-01-15	0.56
lega	NA	95	2021-01-15	0.74
lem	NA	332	2021-01-15	0.72
lethiwe	NA	17	2021-01-15	1
macchiarini	NA	1	2021-01-15	1
moedas	NA	2	2021-01-15	1
moser	NA	107	2021-01-15	0.8
nagayasu	NA	2	2021-01-15	1
odele	NA	9	2021-01-15	0.67
pushan	NA	8	2021-01-15	1
ree	NA	542	2021-01-15	0.57
romeos	NA	44	2021-01-15	0.95
salk	NA	59	2021-01-15	0.83
sanger	NA	45	2021-01-15	1
sarahanne	NA	4	2021-01-15	1
sousa	NA	1587	2021-01-15	0.79
theodoulos	NA	28	2021-01-15	1
xuanhe	NA	1	2021-01-15	1
yamila	NA	857	2021-01-15	0.99
abdourahmane	NA	615	2021-01-15	0.99
asgards	NA	2	2021-01-15	1
beresheet	NA	1	2021-01-15	1
binder	NA	120	2021-01-15	0.75
dukagjin	NA	55	2021-01-15	0.98
feryal	NA	447	2021-01-15	0.95
flaminio	NA	76	2021-01-15	0.99
franci	NA	3614	2021-01-15	0.51
garen	NA	104	2021-01-15	0.95
geofossiles	NA	1	2021-01-15	1
green	NA	2739	2021-01-15	0.69
harwell	NA	1	2021-01-15	1
higgs	NA	31	2021-01-15	0.94
holta	NA	18	2021-01-15	0.94
kaho	NA	195	2021-01-15	0.72
kealoha	NA	2	2021-01-15	1
lorel	NA	67	2021-01-15	0.51
lynch	NA	62	2021-01-15	0.74
manola	NA	1302	2021-01-15	0.97
milovan	NA	670	2021-01-15	0.99
mitrofan	NA	82	2021-01-15	0.59
mosaico	NA	18	2021-01-15	0.78
neale	NA	125	2021-01-15	0.97
nebiyat	NA	7	2021-01-15	0.71
numpon	NA	5	2021-01-15	1
oladosu	NA	69	2021-01-15	0.91
oly	NA	932	2021-01-15	0.64
optum	NA	2	2021-01-15	1
patarapong	NA	1	2021-01-15	1
pegasi	NA	2	2021-01-15	1
pluribus	NA	3	2021-01-15	0.67
rogel	NA	114	2021-01-15	0.93
rosaly	NA	162	2021-01-15	0.99
rush	NA	486	2021-01-15	0.87
sabue	NA	1	2021-01-15	1
satryo	NA	7	2021-01-15	1
serggio	NA	54	2021-01-15	1
seshat	NA	9	2021-01-15	1
shep	NA	66	2021-01-15	0.97
tadesse	NA	98	2021-01-15	1
tapasya	NA	6	2021-01-15	0.83
tas	NA	631	2021-01-15	0.56
tiri	NA	159	2021-01-15	0.84
ummi	NA	277	2021-01-15	0.91
venki	NA	85	2021-01-15	1
vikramaditya	NA	17	2021-01-15	1
wanzhou	NA	1	2021-01-15	1
abeba	NA	73	2021-01-15	0.93
abyssinia	NA	10	2021-01-15	0.7
addex	NA	4	2021-01-15	0.75
arinjay	NA	2	2021-01-15	1
arlyn	NA	571	2021-01-15	0.96
baimba	NA	9	2021-01-15	0.89
behnood	NA	49	2021-01-15	0.98
black	NA	13622	2021-01-15	0.78
brown	NA	3124	2021-01-15	0.78
bruegel	NA	3	2021-01-15	0.67
dory	NA	1666	2021-01-15	0.82
emirati	NA	9	2021-01-15	1
epstein	NA	11	2021-01-15	0.82
joi	NA	555	2021-01-15	0.56
juniper	NA	43	2021-01-15	0.6
kommy	NA	13	2021-01-15	0.69
kuochen	NA	1	2021-01-15	1
lasso	NA	175	2021-01-15	0.91
leskovec	NA	1	2021-01-15	1
livius	NA	106	2021-01-15	0.99
lizbet	NA	56	2021-01-15	1
meareg	NA	4	2021-01-15	0.75
mene	NA	192	2021-01-15	0.74
minhyong	NA	1	2021-01-15	1
moderna	NA	14	2021-01-15	0.86
nuku	NA	20	2021-01-15	0.6
nwamaka	NA	19	2021-01-15	0.89
sahaj	NA	22	2021-01-15	0.95
segenet	NA	4	2021-01-15	0.75
statia	NA	2	2021-01-15	1
zenei	NA	1	2021-01-15	1
boxma	NA	1	2021-02-15	1
buller	NA	32	2021-02-15	0.84
cooke	NA	24	2021-02-15	0.67
davison	NA	140	2021-02-15	0.97
essen	NA	47	2021-02-15	0.68
geiser	NA	19	2021-02-15	0.84
gerstenberger	NA	2	2021-02-15	1
haldane	NA	10	2021-02-15	1
leibnitz	NA	5	2021-02-15	0.8
maclyn	NA	6	2021-02-15	0.67
maxmen	NA	10	2021-02-15	1
ohta	NA	27	2021-02-15	0.78
oppenheimer	NA	4	2021-02-15	1
orme	NA	17	2021-02-15	0.71
percival	NA	243	2021-02-15	0.98
saleeby	NA	5	2021-02-15	1
saunders	NA	17	2021-02-15	0.94
scholes	NA	59	2021-02-15	1
shaler	NA	2	2021-02-15	0.5
somerset	NA	23	2021-02-15	0.74
spence	NA	130	2021-02-15	0.98
storer	NA	3	2021-02-15	1
uncle	NA	552	2021-02-15	0.98
unknown	NA	2409	2021-02-15	0.72
urey	NA	10	2021-02-15	0.7
weiner	NA	9	2021-02-15	0.89
basah	NA	3	2021-02-15	1
beaudet	NA	18	2021-02-15	0.61
beebe	NA	25	2021-02-15	0.6
bruer	NA	3	2021-02-15	0.67
budi	NA	2857	2021-02-15	0.96
bush	NA	342	2021-02-15	0.85
cerrado	NA	31	2021-02-15	0.65
charon	NA	245	2021-02-15	0.67
dewar	NA	13	2021-02-15	0.92
dorland	NA	14	2021-02-15	1
duszynski	NA	3	2021-02-15	0.67
feller	NA	53	2021-02-15	0.83
fermat	NA	23	2021-02-15	0.96
garik	NA	569	2021-02-15	0.99
geoss	NA	3	2021-02-15	1
herr	NA	439	2021-02-15	0.96
hodge	NA	23	2021-02-15	0.96
hubble	NA	22	2021-02-15	0.86
ilonka	NA	1023	2021-02-15	1
jaisree	NA	1	2021-02-15	1
jeanclaude	NA	934	2021-02-15	0.98
jurgenne	NA	1	2021-02-15	1
kampung	NA	3	2021-02-15	1
klink	NA	27	2021-02-15	0.74
krakatoa	NA	16	2021-02-15	0.94
las	NA	1193	2021-02-15	0.59
mahathir	NA	47	2021-02-15	1
martjan	NA	4	2021-02-15	1
miftahul	NA	90	2021-02-15	0.6
mit	NA	25404	2021-02-15	0.96
nodet	NA	2	2021-02-15	1
norka	NA	122	2021-02-15	0.89
overstreet	NA	1	2021-02-15	1
parkinson	NA	12	2021-02-15	0.75
penang	NA	15	2021-02-15	0.93
quddusi	NA	2	2021-02-15	1
quirin	NA	123	2021-02-15	0.94
radien	NA	1	2021-02-15	1
renovo	NA	3	2021-02-15	1
ritola	NA	5	2021-02-15	1
rosenfeld	NA	9	2021-02-15	0.78
salleh	NA	109	2021-02-15	0.86
scientist	NA	22	2021-02-15	0.82
sutherland	NA	10	2021-02-15	0.8
thomson	NA	336	2021-02-15	0.99
varenna	NA	4	2021-02-15	0.5
wemmer	NA	1	2021-02-15	1
wipada	NA	70	2021-02-15	0.96
zahida	NA	199	2021-02-15	0.97
beckman	NA	6	2021-02-15	0.83
caliper	NA	1	2021-02-15	1
carrington	NA	40	2021-02-15	1
marcum	NA	9	2021-02-15	1
mirkin	NA	6	2021-02-15	1
nanion	NA	2	2021-02-15	1
nextgen	NA	3	2021-02-15	1
adl	NA	995	2021-02-15	0.73
andreae	NA	5	2021-02-15	0.6
andrews	NA	582	2021-02-15	0.95
architeuthis	NA	2	2021-02-15	1
arroyo	NA	53	2021-02-15	0.83
azwar	NA	85	2021-02-15	0.99
bardan	NA	48	2021-02-15	0.77
barkman	NA	2	2021-02-15	1
barr	NA	223	2021-02-15	0.78
battey	NA	9	2021-02-15	0.67
ari	NA	10413	2021-02-15	0.65
ben	NA	77991	2021-02-15	0.95
blackwell	NA	22	2021-02-15	0.95
bock	NA	95	2021-02-15	0.84
britannica	NA	1	2021-02-15	1
charter	NA	15	2021-02-15	1
cleone	NA	12	2021-02-15	0.67
corbyn	NA	6	2021-02-15	1
daneric	NA	1	2021-02-15	1
dank	NA	157	2021-02-15	0.82
drummond	NA	15	2021-02-15	0.87
faber	NA	718	2021-02-15	0.97
fauci	NA	6	2021-02-15	0.5
fedak	NA	7	2021-02-15	0.71
fehr	NA	355	2021-02-15	0.62
fenton	NA	33	2021-02-15	0.91
field	NA	63	2021-02-15	0.87
fischer	NA	459	2021-02-15	0.65
freud	NA	313	2021-02-15	0.92
glennys	NA	73	2021-02-15	0.96
greenberg	NA	5	2021-02-15	0.6
gusev	NA	13	2021-02-15	1
gutscher	NA	1	2021-02-15	1
hasso	NA	189	2021-02-15	0.92
hawke	NA	28	2021-02-15	0.89
hooker	NA	51	2021-02-15	0.96
hurricane	NA	339	2021-02-15	0.89
huygens	NA	20	2021-02-15	0.55
hyperion	NA	57	2021-02-15	0.93
iyengar	NA	5	2021-02-15	1
jensen	NA	423	2021-02-15	0.9
johns	NA	223	2021-02-15	0.95
joseluis	NA	1912	2021-02-15	0.98
junghye	NA	32	2021-02-15	0.94
kanzi	NA	43	2021-02-15	0.72
kealy	NA	17	2021-02-15	0.76
keefer	NA	6	2021-02-15	0.83
kling	NA	45	2021-02-15	0.84
koralev	NA	2	2021-02-15	1
kotoku	NA	4	2021-02-15	1
kutluk	NA	16	2021-02-15	1
lewy	NA	99	2021-02-15	0.96
loring	NA	15	2021-02-15	0.87
luci	NA	5005	2021-02-15	0.8
ludwin	NA	51	2021-02-15	0.96
mackey	NA	54	2021-02-15	0.87
marcandre	NA	16	2021-02-15	0.94
mattson	NA	7	2021-02-15	0.71
michaels	NA	65	2021-02-15	0.86
miklas	NA	31	2021-02-15	0.94
minger	NA	6	2021-02-15	1
monina	NA	185	2021-02-15	0.98
montagu	NA	1	2021-02-15	1
montague	NA	12	2021-02-15	0.92
murayama	NA	18	2021-02-15	0.83
murdoch	NA	29	2021-02-15	1
narmin	NA	380	2021-02-15	0.95
nermeen	NA	220	2021-02-15	0.99
niteesh	NA	6	2021-02-15	1
olsen	NA	183	2021-02-15	0.84
orang	NA	54	2021-02-15	0.69
orfeu	NA	26	2021-02-15	1
paczy	NA	2	2021-02-15	1
padmanabha	NA	10	2021-02-15	1
pasteur	NA	155	2021-02-15	0.95
pederson	NA	4	2021-02-15	0.5
pimm	NA	21	2021-02-15	0.71
plato	NA	96	2021-02-15	0.96
polani	NA	5	2021-02-15	1
polk	NA	73	2021-02-15	0.73
pombo	NA	34	2021-02-15	0.85
primorac	NA	8	2021-02-15	1
pritchard	NA	18	2021-02-15	0.94
raynard	NA	37	2021-02-15	0.95
redner	NA	1	2021-02-15	1
robien	NA	21	2021-02-15	0.86
rugh	NA	2	2021-02-15	1
rusi	NA	114	2021-02-15	0.72
saffir	NA	8	2021-02-15	0.75
salvano	NA	8	2021-02-15	0.88
sapiens	NA	38	2021-02-15	0.89
sawadogo	NA	359	2021-02-15	0.79
schönborn	NA	1	2021-02-15	1
seibel	NA	9	2021-02-15	0.67
seichi	NA	9	2021-02-15	1
sevket	NA	938	2021-02-15	0.97
shailer	NA	3	2021-02-15	0.67
skiena	NA	1	2021-02-15	1
snow	NA	1908	2021-02-15	0.59
sospeter	NA	48	2021-02-15	0.96
spokesman	NA	4	2021-02-15	1
stromberg	NA	13	2021-02-15	0.92
teuku	NA	168	2021-02-15	0.99
tozzi	NA	45	2021-02-15	0.89
tyne	NA	54	2021-02-15	0.81
umran	NA	293	2021-02-15	0.7
unger	NA	39	2021-02-15	0.64
vidali	NA	6	2021-02-15	0.67
villanueva	NA	47	2021-02-15	0.6
waverly	NA	11	2021-02-15	0.64
wigley	NA	3	2021-02-15	1
wiig	NA	1	2021-02-15	1
wit	NA	534	2021-02-15	0.94
yadvinder	NA	10	2021-02-15	1
yoweri	NA	5	2021-02-15	1
yücel	NA	36	2021-02-15	1
zawistowski	NA	1	2021-02-15	1
zygi	NA	44	2021-02-15	0.91
aoki	NA	92	2021-02-15	0.7
beldam	NA	1	2021-02-15	1
boehm	NA	13	2021-02-15	0.62
constable	NA	5	2021-02-15	1
cuzzi	NA	6	2021-02-15	0.83
harlow	NA	18	2021-02-15	0.61
jewell	NA	109	2021-02-15	0.62
kleinschmidt	NA	5	2021-02-15	0.6
mahatma	NA	101	2021-02-15	0.9
popper	NA	77	2021-02-15	0.94
principal	NA	25	2021-02-15	0.88
valenzuela	NA	17	2021-02-15	0.71
archimedes	NA	73	2021-02-15	0.99
arkani	NA	5	2021-02-15	0.8
hamed	NA	9345	2021-02-15	0.98
behrokh	NA	14	2021-02-15	0.93
berhane	NA	57	2021-02-15	0.89
bramley	NA	6	2021-02-15	1
bunn	NA	15	2021-02-15	0.6
chapin	NA	35	2021-02-15	0.89
clardy	NA	2	2021-02-15	1
ecke	NA	24	2021-02-15	0.96
giday	NA	7	2021-02-15	0.86
giwa	NA	166	2021-02-15	0.85
osagie	NA	260	2021-02-15	0.93
gottesman	NA	1	2021-02-15	1
greenwood	NA	15	2021-02-15	0.93
hagia	NA	8	2021-02-15	0.5
hilburn	NA	1	2021-02-15	1
hoffmann	NA	227	2021-02-15	0.65
kanwaljeet	NA	16	2021-02-15	0.81
kawaguchi	NA	33	2021-02-15	0.73
khotso	NA	62	2021-02-15	0.94
livermore	NA	2	2021-02-15	1
lofar	NA	1	2021-02-15	1
luers	NA	2	2021-02-15	0.5
maatia	NA	3	2021-02-15	0.67
marcelin	NA	604	2021-02-15	0.96
marks	NA	314	2021-02-15	0.97
martinez	NA	1525	2021-02-15	0.71
neuron	NA	13	2021-02-15	0.85
nolte	NA	34	2021-02-15	0.94
nomsisi	NA	1	2021-02-15	1
ochieng	NA	98	2021-02-15	0.97
ono	NA	353	2021-02-15	0.8
pepetua	NA	61	2021-02-15	1
pister	NA	6	2021-02-15	0.67
qamaruzzaman	NA	1	2021-02-15	1
rabun	NA	8	2021-02-15	0.88
rad	NA	1280	2021-02-15	0.83
researcher	NA	14	2021-02-15	0.86
rutherford	NA	25	2021-02-15	0.92
ryff	NA	4	2021-02-15	1
sangkot	NA	5	2021-02-15	1
shri	NA	206	2021-02-15	0.84
soto	NA	274	2021-02-15	0.88
sterl	NA	9	2021-02-15	0.56
thorne	NA	31	2021-02-15	0.97
tipu	NA	155	2021-02-15	0.95
tortsen	NA	3	2021-02-15	1
tshaka	NA	3	2021-02-15	0.67
weissman	NA	1	2021-02-15	1
whitehead	NA	14	2021-02-15	0.79
hall	NA	611	2021-02-15	0.89
liotta	NA	17	2021-02-15	0.65
rock	NA	3728	2021-02-15	0.89
akilesh	NA	26	2021-02-15	0.92
amrein	NA	12	2021-02-15	0.67
ansell	NA	9	2021-02-15	0.67
aramis	NA	660	2021-02-15	0.91
arney	NA	21	2021-02-15	0.81
avocats	NA	1	2021-02-15	1
balea	NA	104	2021-02-15	0.52
bdellovibrio	NA	1	2021-02-15	1
bodman	NA	17	2021-02-15	0.94
bollen	NA	26	2021-02-15	0.65
burnham	NA	2	2021-02-15	1
capua	NA	8	2021-02-15	0.88
cerro	NA	35	2021-02-15	0.91
colen	NA	26	2021-02-15	0.88
colizzi	NA	2	2021-02-15	1
crohn	NA	1	2021-02-15	1
crutzen	NA	4	2021-02-15	0.75
daum	NA	27	2021-02-15	0.52
diarmad	NA	1	2021-02-15	1
donoghue	NA	1	2021-02-15	1
dronning	NA	2	2021-02-15	1
elledge	NA	1	2021-02-15	1
engels	NA	160	2021-02-15	0.73
everest	NA	278	2021-02-15	0.92
everitt	NA	3	2021-02-15	1
feinberg	NA	1	2021-02-15	1
felger	NA	1	2021-02-15	1
fitzpatrick	NA	18	2021-02-15	0.94
friedler	NA	1	2021-02-15	1
fuk	NA	124	2021-02-15	0.74
gardini	NA	9	2021-02-15	0.67
ghedin	NA	1	2021-02-15	1
grimes	NA	8	2021-02-15	0.63
grisha	NA	386	2021-02-15	0.97
haydon	NA	30	2021-02-15	1
healy	NA	17	2021-02-15	0.65
hecker	NA	12	2021-02-15	0.5
henriksen	NA	6	2021-02-15	0.83
hoch	NA	46	2021-02-15	0.78
inus	NA	30	2021-02-15	0.6
johanis	NA	34	2021-02-15	0.76
jorgo	NA	243	2021-02-15	0.97
kaiuwe	NA	11	2021-02-15	0.91
kelso	NA	66	2021-02-15	0.88
keunhwa	NA	6	2021-02-15	0.5
klimanskaya	NA	1	2021-02-15	1
kohnen	NA	4	2021-02-15	0.75
kuiken	NA	5	2021-02-15	0.6
lanard	NA	2	2021-02-15	1
lederman	NA	5	2021-02-15	1
lefteri	NA	27	2021-02-15	0.89
leith	NA	142	2021-02-15	0.89
leitner	NA	24	2021-02-15	0.83
leonhardt	NA	21	2021-02-15	0.81
leun	NA	9	2021-02-15	0.78
levesque	NA	55	2021-02-15	0.69
liaw	NA	57	2021-02-15	0.68
ludman	NA	11	2021-02-15	0.91
lum	NA	213	2021-02-15	0.69
maillard	NA	211	2021-02-15	0.52
mal	NA	2215	2021-02-15	0.7
marchant	NA	26	2021-02-15	0.81
marylia	NA	20	2021-02-15	1
matthews	NA	168	2021-02-15	0.95
mayotte	NA	31	2021-02-15	0.81
metzker	NA	3	2021-02-15	0.67
mihran	NA	73	2021-02-15	0.84
mill	NA	253	2021-02-15	0.63
morse	NA	53	2021-02-15	0.92
mumby	NA	1	2021-02-15	1
musk	NA	63	2021-02-15	0.6
nicoli	NA	69	2021-02-15	0.52
ogura	NA	22	2021-02-15	0.73
osita	NA	388	2021-02-15	0.56
pandora	NA	923	2021-02-15	0.89
pearson	NA	69	2021-02-15	0.93
perl	NA	64	2021-02-15	0.75
pfluger	NA	5	2021-02-15	0.6
pikitch	NA	1	2021-02-15	1
pinkston	NA	1	2021-02-15	1
piwis	NA	1	2021-02-15	1
plasterk	NA	1	2021-02-15	1
prasertsak	NA	12	2021-02-15	1
rafid	NA	101	2021-02-15	0.98
ragunath	NA	16	2021-02-15	1
revaz	NA	69	2021-02-15	0.99
revere	NA	10	2021-02-15	1
roberts	NA	486	2021-02-15	0.93
rocker	NA	504	2021-02-15	0.87
rodi	NA	1160	2021-02-15	0.77
rohwer	NA	1	2021-02-15	1
rowe	NA	41	2021-02-15	0.56
russo	NA	984	2021-02-15	0.79
sainsbury	NA	3	2021-02-15	0.67
santigao	NA	1	2021-02-15	1
schindel	NA	2	2021-02-15	0.5
schwab	NA	55	2021-02-15	0.69
sebastine	NA	77	2021-02-15	0.91
shevach	NA	2	2021-02-15	1
slashdot	NA	3	2021-02-15	1
sowell	NA	3	2021-02-15	1
spector	NA	16	2021-02-15	1
stradivari	NA	9	2021-02-15	1
sungil	NA	78	2021-02-15	0.99
suprotik	NA	1	2021-02-15	1
telmo	NA	2526	2021-02-15	0.99
tissa	NA	134	2021-02-15	0.69
valera	NA	1511	2021-02-15	0.95
vereecke	NA	8	2021-02-15	0.63
weijung	NA	2	2021-02-15	1
widder	NA	35	2021-02-15	0.71
widler	NA	4	2021-02-15	1
woods	NA	106	2021-02-15	0.79
xena	NA	1429	2021-02-15	0.95
xeste	NA	3	2021-02-15	0.67
zafra	NA	32	2021-02-15	0.75
bhat	NA	16	2021-02-15	0.94
bradshaw	NA	19	2021-02-15	0.53
burrows	NA	22	2021-02-15	1
cassenaer	NA	1	2021-02-15	1
coulson	NA	3	2021-02-15	1
eichler	NA	11	2021-02-15	0.64
forsyth	NA	2	2021-02-15	1
fryxell	NA	1	2021-02-15	1
gleyzes	NA	2	2021-02-15	0.5
guerlin	NA	12	2021-02-15	0.58
jeanpaul	NA	834	2021-02-15	0.99
jepsen	NA	6	2021-02-15	0.5
kapitza	NA	2	2021-02-15	1
kipling	NA	32	2021-02-15	0.75
kump	NA	2	2021-02-15	1
marconi	NA	150	2021-02-15	0.94
moeli	NA	7	2021-02-15	0.71
pagel	NA	8	2021-02-15	0.63
rezende	NA	6	2021-02-15	0.5
rivers	NA	59	2021-02-15	0.83
schuyten	NA	3	2021-02-15	0.67
shute	NA	4	2021-02-15	1
signor	NA	143	2021-02-15	0.97
wainwright	NA	3	2021-02-15	1
addo	NA	286	2021-02-15	0.86
andang	NA	41	2021-02-15	0.95
asahiko	NA	2	2021-02-15	1
basuki	NA	121	2021-02-15	0.96
bhatt	NA	19	2021-02-15	0.74
bisso	NA	136	2021-02-15	0.79
botlhale	NA	19	2021-02-15	0.53
bustamente	NA	3	2021-02-15	0.67
calaway	NA	1	2021-02-15	1
